x,y,a,b,xL,xR
0,0,0.73125,27.357,-100.403,99.785
0,1,0.726437,42.6644,-100.462,99.7932
0,2,0.74659,21.424,-107.665,100.869
0,3,0.72266,23.0421,-100.304,99.8145
0,4,0.724881,49.4377,-100.218,99.6138
0,5,0.709727,27.1617,-100.489,99.6145
0,6,0.876831,13.1319,-98.3004,99.3474
0,7,0.719853,13.0651,-100.405,99.7572
0,8,0.716171,25.4152,-100.358,99.5909
0,9,0.704182,43.9665,-100.219,99.606
0,10,0.70663,41.8839,-100.471,99.6959
0,11,0.718729,31.7732,-100.263,99.7915
0,12,0.711952,19.3816,-100.001,100.002
0,13,0.729267,36.0208,-100.181,99.6979
0,14,0.731904,31.3766,-100.317,99.7499
0,15,0.73591,18.2297,-100.275,101.635
1,0,0.731368,23.4768,-100.48,99.669
1,1,0.712049,24.5381,-97.1842,95.8143
1,2,-1.80479e-07,99.9999,89.4588,100.041
1,3,0.70375,16.2087,-100.274,99.4838
1,4,-0.708934,-41.6513,-99.468,100.42
1,5,0.714541,34.8312,-100.286,99.5109
1,6,0.711943,33.6501,-100.241,99.7789
1,7,0.714311,32.1976,-100.321,99.6665
1,8,0.704848,21.6319,-100.344,99.5855
1,9,0.696666,34.8617,-100.467,99.5759
1,10,0.728114,38.6035,-100.355,106.011
1,11,0.72732,26.8683,-102.97,99.4085
1,12,0.704369,33.6229,-100.415,99.57
1,13,0.719093,19.3705,-100.92,99.4136
1,14,0.713809,23.6162,-100.484,99.6376
1,15,0.723311,19.1729,-100.201,99.5887
2,0,0.759193,19.5332,-100.507,99.6277
2,1,0.733335,9.96382,-98.0682,99.4987
2,2,0.73856,-0.28329,-100.239,99.7064
2,3,0.721929,20.6651,-100.183,99.6717
2,4,0.770834,24.7435,-99.2165,88.7534
2,5,0.723505,23.6325,-100.45,99.6619
2,6,0.73024,7.1659,-100.45,99.5071
2,7,0.725793,17.84,-100.446,99.6665
2,8,0.725666,10.798,-100.345,99.7799
2,9,0.733973,14.3367,-100.556,99.8522
2,10,0.731515,14.2787,-100.404,99.5712
2,11,0.729904,12.4369,-100.287,99.5004
2,12,0.737628,7.22614,-100.387,99.7501
2,13,0.725964,3.5957,-100.328,99.6559
2,14,0.732263,50.0516,-100.487,99.6512
2,15,0.739326,11.2161,-100.058,99.5893
3,0,1.68596,56.3569,-99.2473,59.7734
3,1,0.682057,11.8766,-100.098,99.5737
3,2,0.751586,-12.8451,-100.412,99.6982
3,3,0.739412,-12.647,-100.31,99.6527
3,4,0.739734,-17.2458,-100.212,103.386
3,5,0.734613,-6.79455,-100.334,99.5507
3,6,0.729482,6.96468,-100.311,99.5472
3,7,0.730576,3.23288,-100.492,99.6089
3,8,0.72661,0.232852,-100.533,99.7116
3,9,0.735158,-9.42582,-100.418,99.7182
3,10,0.735085,-3.3828,-100.434,99.7626
3,11,0.738582,-9.95993,-100.349,99.6432
3,12,0.742344,-0.964883,-100.293,99.4754
3,13,0.732998,-9.40947,-100.364,99.7233
3,14,0.732584,-8.86261,-100.264,99.578
3,15,0.745062,-24.6687,-100,100
4,0,0.745765,11.8635,-98.1732,98.8393
4,1,0.742751,-1.82121,-100.32,99.5466
4,2,0.743977,-3.70033,-100.355,99.5546
4,3,0.731201,-10.8035,-100.234,99.5397
4,4,0.731727,4.34836,-100.309,99.7328
4,5,0.734624,-2.4226,-100.42,99.7177
4,6,0.727899,0.814617,-100.203,99.5082
4,7,0.730568,-6.70822,-100.411,99.5222
4,8,0.724943,-6.49578,-100.692,99.8218
4,9,0.734307,0.145488,-100.39,99.6514
4,10,0.724468,8.72175,-100,100
4,11,0.723014,-8.25856,-100.352,99.5939
4,12,0.723465,-3.48965,-100.421,99.7488
4,13,0.73699,-19.7631,-100.237,99.5514
4,14,0.739856,-13.599,-100.427,99.5043
4,15,0.756743,-2.17289,-100.401,99.4992
5,0,0.747733,-12.9181,-100.306,99.6928
5,1,0.734426,-22.3411,-99.9722,98.7935
5,2,0.730439,14.0023,-100.359,99.674
5,3,0.722441,-6.30351,-100.241,99.5908
5,4,0.721063,7.03386,-100.403,99.7693
5,5,0.727841,-18.1051,-100.307,99.6216
5,6,0.724597,5.44618,-100.378,99.8106
5,7,0.700921,13.4983,-95.5739,99.3253
5,8,0.721383,6.60872,-100.371,99.8088
5,9,0.726489,-7.53695,-100.412,99.4861
5,10,0.720487,-9.39009,-100.31,99.576
5,11,0.723976,19.5745,-99.4535,99.9222
5,12,0.724866,22.5577,-100.27,99.5839
5,13,0.739408,6.06127,-100.271,99.6402
5,14,0.739317,-7.85663,-100.365,99.6251
5,15,0.747291,-10.7173,-100.217,99.5403
6,0,0.731462,-28.4222,-100.42,99.5113
6,1,0.729128,-7.55398,-100.445,99.4295
6,2,0.709649,-34.2788,-100.42,99.6224
6,3,0.702392,-16.4767,-100.355,99.593
6,4,0.718152,-38.6224,-100.447,99.5652
6,5,0.707087,-18.5742,-100.36,99.6481
6,6,0.707953,-23.9106,-100.379,99.486
6,7,0.713159,-32.1392,-100.396,99.596
6,8,0.705002,-42.5786,-100.277,99.6954
6,9,0.711692,-38.9268,-100.545,99.6573
6,10,0.711322,-20.5579,-100.281,99.7019
6,11,0.711131,-30.3929,-100.385,99.5155
6,12,0.715599,-35.9979,-100.472,99.5194
6,13,0.709511,-19.4589,-100.439,99.631
6,14,0.726219,-26.5916,-100.21,103.021
6,15,0.74056,-20.5747,-100.416,99.4842
7,0,0.801438,-7.1827,-100.0,100.0
7,1,0.68735,-39.0799,-100.0,100.0
7,2,0.675986,-27.7308,-100.0,100.0
7,3,0.66406,-19.1863,-100.0,100.0
7,4,0.673558,-32.7201,-100.0,100.0
7,5,0.657986,-20.6043,-100.0,100.0
7,6,0.652051,-27.0851,-100.0,100.0
7,7,0.657314,-1.87329,-100.0,100.0
7,8,0.661995,-44.5938,-100.0,100.0
7,9,0.663074,-25.3571,-100.0,100.0
7,10,0.668912,-41.9859,-100.0,100.0
7,11,0.666073,-45.0872,-100.0,100.0
7,12,0.702922,-38.3541,-100.0,100.0
7,13,0.662484,-30.2646,-100.0,100.0
7,14,0.7134,-41.4849,-100.0,100.0
7,15,0.709477,-6.61373,-100.0,100.0
8,0,0.752588,-1.81857,-100.408,99.549
8,1,0.731811,17.6305,-100.431,99.5278
8,2,0.73847,9.96779,-100.433,99.5835
8,3,0.722321,-1.49926,-100.34,99.8858
8,4,0.720966,8.81409,-100.559,99.7997
8,5,0.719509,12.4378,-100.222,99.4993
8,6,0.714649,17.4667,-100.348,99.6535
8,7,0.73242,-2.42744,-100.513,99.6436
8,8,1.19081,43.9627,-100.609,98.8508
8,9,0.727238,0.0308416,-100,100
8,10,0.740039,11.0581,-101.741,99.4498
8,11,0.739356,11.8283,-100.493,99.6959
8,12,0.717988,18.8376,-100.488,99.7293
8,13,0.728508,-0.50093,-100.302,99.7723
8,14,0.72906,-21.1824,-100.266,99.6397
8,15,0.749142,12.3863,-101.904,99.5311
