x,y,offset
8,0,3.56218
8,1,2.95956
8,2,2.90191
8,3,2.9879
8,4,0.0712712
8,5,0.624282
8,6,-0.606973
8,7,-1.57353
8,8,-3.10906
8,9,-3.5061
8,10,-4.63943
8,11,-5.93914
8,12,-6.85716
8,13,-6.12821
8,14,1.52051
8,15,0.0
7,0,2.7126
7,1,1.11169
7,2,0.916007
7,3,0.500262
7,4,-1.44504
7,5,-2.81436
7,6,-1.86951
7,7,-3.04808
7,8,-4.17227
7,9,-4.06338
7,10,-4.95715
7,11,-5.70161
7,12,-5.67428
7,13,-7.45327
7,14,-0.159573
7,15,0.0
6,0,4.35528
6,1,4.361
6,2,2.60034
6,3,1.43904
6,4,1.13782
6,5,1.12171
6,6,-0.541831
6,7,-1.36396
6,8,-2.40518
6,9,-2.63111
6,10,-4.55224
6,11,-4.83242
6,12,-5.69542
6,13,-4.33228
6,14,3.87354
6,15,0.0
5,0,2.47908
5,1,2.82434
5,2,1.66398
5,3,1.27368
5,4,-0.52978
5,5,-0.476325
5,6,-1.84398
5,7,-1.36173
5,8,-2.58262
5,9,-3.43919
5,10,-4.71445
5,11,-4.80749
5,12,-4.77115
5,13,-6.10537
5,14,2.93633
5,15,0.0
4,0,2.78097
4,1,3.03234
4,2,2.73337
4,3,2.25374
4,4,1.27777
4,5,-0.214498
4,6,-0.22419
4,7,-1.0976
4,8,-2.50006
4,9,-3.30478
4,10,-2.76774
4,11,-3.95202
4,12,-6.0027
4,13,-5.36363
4,14,3.47984
4,15,0.0
3,0,1.60658
3,1,1.35646
3,2,0.616655
3,3,-0.0143034
3,4,-2.11017
3,5,-3.87499
3,6,-2.84709
3,7,-5.17926
3,8,-6.02102
3,9,-5.5981
3,10,-5.91652
3,11,-7.05059
3,12,-8.14789
3,13,-8.91518
3,14,0.239137
3,15,0.0
2,0,2.71065
2,1,2.1659
2,2,1.89537
2,3,0.672744
2,4,2.31868
2,5,-1.09717
2,6,-1.66322
2,7,-2.3435
2,8,-4.60673
2,9,-3.7478
2,10,-4.54179
2,11,-5.42144
2,12,-7.42053
2,13,-6.30862
2,14,1.52415
2,15,0.0
1,0,4.31597
1,1,3.52887
1,2,3.42941
1,3,2.55031
1,4,2.40883
1,5,0.467477
1,6,-0.156203
1,7,-1.27192
1,8,-2.87243
1,9,-2.69231
1,10,-2.79512
1,11,-3.94058
1,12,-6.06521
1,13,-6.40587
1,14,3.12466
1,15,0.0
0,0,4.61966
0,1,3.84156
0,2,3.00802
0,3,3.80767
0,4,1.12885
0,5,0.711706
0,6,2.99307
0,7,-0.949068
0,8,-1.89219
0,9,-2.54174
0,10,-4.79789
0,11,-4.36041
0,12,-5.00044
0,13,-6.65786
0,14,0.886113
0,15,0.0
